county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income
"Jackson County, Colorado",0,8059,1296,6.4,4.1,10.5,94,2.8,7,7,14,14.89361702,87.6,16.8,6.4,93.8,0,19.6,0,35.2,0,0,54922,65147
"Jefferson County, Colorado",0,8061,570427,5.3,5.6,10.9,58494,2.98,4886,9724,14610,24.97692071,94.4,44.1,6.6,93.3,1.8,15.3,3.8,8.6,1211,0.002122971,99247,121774
"Kiowa County, Colorado",0,8063,1449,10.6,5.1,15.7,148,3.14,9,45,54,36.48648649,95.9,21.5,0.5,98.5,4.2,5.4,0,16.4,0,0,47417,70268
"Kit Carson County, Colorado",0,8065,7635,5.1,7.3,12.4,920,2.79,110,178,288,31.30434783,88.5,18.9,7.8,91.2,2.8,19.2,0.4,14.6,18,0.002357564,61149,84775
"Lake County, Colorado",0,8067,7585,4.3,5.7,10,665,2.67,110,137,247,37.14285714,85.5,34,8.6,87.8,0.8,30.9,2.3,19.7,59,0.00777851,59688,70119
"La Plata County, Colorado",0,8069,55101,5.2,5.4,10.6,4994,3.05,411,654,1065,21.32559071,95,43.9,2.8,90.3,0.8,12.8,1,8.4,17,0.000308524,85418,111955
"Larimer County, Colorado",0,8071,338161,5.2,5.5,10.7,33287,2.94,2907,5433,8340,25.05482621,95.8,46.3,5.5,94.3,1.8,11.3,3.4,10.1,302,0.000893066,87250,107898
"Las Animas County, Colorado",0,8073,14179,4.4,5.2,9.6,1358,2.56,151,316,467,34.38880707,87.8,19.7,5.5,89.9,1.7,42.1,1.2,22.3,3,0.000211581,54702,68103
"Lincoln County, Colorado",0,8075,5548,5.5,6.5,12,270,2.98,21,61,82,30.37037037,90.3,12.8,4.8,87.9,10.1,21.7,0.7,15.3,3,0.000540735,69141,77350
"Logan County, Colorado",0,8077,21689,7.9,4.4,12.3,2049,3.25,180,417,597,29.13616398,89.5,20.5,4.2,96.8,4.1,15.9,1.1,19.1,258,0.011895431,62146,74429
"Mesa County, Colorado",0,8079,149998,5.8,6.3,12.1,15896,2.95,1730,3831,5561,34.98364368,90.1,27.4,3.9,96,1.3,14.4,1.3,21.6,40,0.00026667,67375,80606
"Mineral County, Colorado",0,8081,823,1.5,4.6,6.1,38,2.31,4,15,19,50,96.8,39.9,1,88.8,2.2,9.6,1.7,17.9,2,0.002430134,64659,80729
"Moffat County, Colorado",0,8083,13060,6.4,7,13.4,1555,3.03,147,507,654,42.05787781,90.9,17.1,7.4,96.3,1.7,15.2,0.9,14.4,6,0.000459418,69484,82091
"Montezuma County, Colorado",0,8085,25909,5.9,6.4,12.3,2615,2.98,263,524,787,30.09560229,89.5,28.6,2.3,83.2,0.7,12.4,0.3,26,13,0.000501756,57300,67889
"Montrose County, Colorado",0,8087,41268,5.6,6,11.6,3808,2.88,250,730,980,25.73529412,88.8,23.9,6.7,95.9,0.8,20.5,1.4,24.7,82,0.001987012,59385,70794
"Morgan County, Colorado",0,8089,28257,7.3,7.7,15,3596,3.06,434,824,1258,34.98331479,80.1,17.6,13.6,91.7,3.6,35.9,0.9,11.8,283,0.010015217,59466,70551
