county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Whitley County, Indiana",0,18183,33649,6.038812446,6.55591548,12.59472793,9675,2.88,640,1210,1850,19.12144703,39.7,14,1.3,98.6,0.8,2,0.8,15.9,19,0.056465274,72770,85721,,,0.017946484,0.01948324,
"Alcona County, Michigan",1,26001,10364,3.068313393,3.512157468,6.580470861,3044,2.54,183,326,509,16.72141919,39.2,10.2,1.4,98.4,0.7,1.4,0.5,22.4,3,0.028946353,51250,60799,,,0.029605494,0.03388805,
"Alger County, Michigan",1,26003,9194,3.513160757,4.56819665,8.081357407,2019,3.28,130,148,278,13.76919267,44.3,11.6,0.9,88.7,7.7,1.5,0.4,15.5,0,0,58852,69363,,,0.03821145,0.049686716,
"Allegan County, Michigan",1,26005,115250,6.209110629,6.92494577,13.1340564,31202,3.1,1831,3891,5722,18.33856804,37.8,14.8,3.1,95.7,2.2,7.3,1,13.5,102,0.088503254,70479,82743,,,0.005387515,0.00600863,
"Alpena County, Michigan",1,26007,28612,4.802180903,4.536558088,9.338738991,7797,2.74,545,1263,1808,23.1884058,33.5,11.1,1.4,98.2,0.8,1.3,0.7,18.1,76,0.265622816,54337,67717,,,0.0167838,0.015855439,
"Antrim County, Michigan",1,26009,23177,4.275790655,4.733140614,9.008931268,6841,2.74,350,751,1101,16.09413828,32,17.3,1.8,97.5,0.9,2.2,0.4,18.9,10,0.043146223,64173,84772,,,0.018448422,0.020421714,
"Arenac County, Michigan",1,26011,15165,4.549950544,4.939004286,9.48895483,4269,2.75,310,586,896,20.9885219,42.3,7.7,1.3,97.6,1,2,0.5,29.1,25,0.164853281,51110,62404,,,0.030002971,0.032568442,
"Baraga County, Michigan",1,26013,8507,4.490419654,5.466086752,9.956506406,1955,2.92,148,334,482,24.65473146,43.4,9.2,1.5,79.4,10.6,1.6,1,25.7,1,0.011755025,54063,66272,,,0.052784997,0.064253988,
"Barry County, Michigan",1,26015,60057,5.479794196,6.29735085,11.77714505,17243,2.89,1176,1875,3051,17.69413675,37.8,13.7,1.5,97.9,1.2,2.9,0.6,10.8,35,0.058277969,71339,83166,,,0.009124322,0.010485623,
"Bay County, Michigan",1,26017,104786,4.944362797,5.681102437,10.62546523,27674,2.92,2374,5297,7671,27.71915878,34.7,12.8,1.5,96.9,2.9,5.3,0.9,25.2,144,0.137422938,59588,73627,,,0.004718534,0.005421624,
"Benzie County, Michigan",1,26019,17552,4.75159526,4.19325433,8.94484959,4457,3.12,184,473,657,14.74085708,31.8,17.7,1.6,97.3,0.8,2.5,0.7,12.1,4,0.022789426,67149,77764,,,0.027071532,0.023890465,
"Berrien County, Michigan",1,26021,154807,5.864075914,6.351133993,12.21520991,41127,2.92,2964,8416,11380,27.67038685,28.9,16.6,5.8,81.5,16.4,5.4,2.6,24.7,248,0.160199474,62791,82194,,,0.003787991,0.004102614,
"Branch County, Michigan",1,26023,43584,6.071035242,6.472558737,12.54359398,10973,3,897,1643,2540,23.14772624,41.3,9.8,3.2,95.4,2.7,4.6,1.2,24.4,62,0.142254038,58445,72042,,,0.013929505,0.014850768,
"Calhoun County, Michigan",1,26025,134473,6.237683401,6.228016033,12.46569943,33643,3.05,2862,7445,10307,30.63638796,36.4,14.2,3.7,85.5,13.2,5.1,3,25.8,216,0.16062704,58490,73452,,,0.004638614,0.004631425,
"Cass County, Michigan",1,26027,51460,4.961134862,5.785075787,10.74621065,14654,2.88,1087,2148,3235,22.07588372,33.2,12.7,1.7,91.7,6.9,3.8,1.1,18.2,28,0.054411193,65234,82755,,,0.00964076,0.011241888,
"Charlevoix County, Michigan",1,26029,26219,4.458598726,5.366337389,9.824936115,7350,2.8,409,880,1289,17.53741497,29.5,18.2,1.8,97.1,0.9,1.9,0.8,15.5,12,0.045768336,67594,89883,,,0.01700522,0.020467361,
"Cheboygan County, Michigan",1,26031,25458,3.806269149,4.010527143,7.816796292,7368,2.73,416,891,1307,17.73887079,37.9,12.9,1.4,96.8,1.1,1.4,0.8,24.4,18,0.07070469,55899,66573,,,0.014951171,0.015753504,
"Chippewa County, Michigan",1,26033,37834,4.868636676,4.852777925,9.721414601,8570,3.02,631,1518,2149,25.07584597,35,14.5,2.6,77.2,8.1,1.9,1.7,28.1,2,0.00528625,55331,70508,,,0.012868416,0.0128265,
"Clare County, Michigan",1,26035,30616,5.382806376,6.176509015,11.55931539,8205,2.96,530,1263,1793,21.85252895,38.2,7.5,1.6,98.1,1.1,1.9,0.5,37.8,10,0.03266266,46804,58705,,,0.017581677,0.020174121,
